# ##time, x, y, yaw, vel, speed_cmd, steer_cmd, s, lap
9.900000000000000000e+01,5.487058734776068647e+00,1.023990107014692424e-01,4.322529497799240672e-02,1.999998864139487020e+00,2.000000000000000000e+00,6.311426870524883270e-03,5.524754878398196567e+00,0.000000000000000000e+00
1.000000000000000000e+02,5.546985022310717106e+00,1.053710553941790695e-01,4.601820143548816106e-02,1.999999018587556021e+00,2.000000000000000000e+00,4.841612535528838634e-04,5.524754878398196567e+00,0.000000000000000000e+00
1.010000000000000000e+02,5.606902538368323974e+00,1.085150197999174282e-01,4.893292727809901016e-02,1.999999152034625416e+00,2.000000000000000000e+00,-5.230999086052179337e-03,5.524754878398196567e+00,0.000000000000000000e+00
1.020000000000000000e+02,5.666813345179822825e+00,1.117844432853219994e-01,5.137162336385377170e-02,1.999999267336296072e+00,2.000000000000000000e+00,-2.957352995872497559e-02,5.774754878398196567e+00,0.000000000000000000e+00
1.030000000000000000e+02,5.726739122584429076e+00,1.147658892927753138e-01,5.006589357939038309e-02,1.999999366959879010e+00,2.000000000000000000e+00,-2.091696113348007202e-02,5.774754878398196567e+00,0.000000000000000000e+00
1.040000000000000000e+02,5.786676833901054806e+00,1.174977823377202496e-01,4.767096133576914641e-02,1.999999453037194952e+00,2.000000000000000000e+00,-9.670739993453025818e-03,5.774754878398196567e+00,0.000000000000000000e+00
1.050000000000000000e+02,5.846624056173525652e+00,1.200126295147337790e-01,4.484787580553108166e-02,1.999999527410190714e+00,2.000000000000000000e+00,2.019217004999518394e-03,5.774754878398196567e+00,0.000000000000000000e+00
1.060000000000000000e+02,5.906577148439264846e+00,1.223836565981536312e-01,4.243352880334498589e-02,1.999999591670355237e+00,2.000000000000000000e+00,3.478321060538291931e-02,6.024754878398196567e+00,0.000000000000000000e+00
1.070000000000000000e+02,5.966517240517102749e+00,1.250604360615205080e-01,4.403934520518813095e-02,1.999999647192775898e+00,2.000000000000000000e+00,3.228851780295372009e-02,6.024754878398196567e+00,0.000000000000000000e+00
1.080000000000000000e+02,6.026420962013777860e+00,1.284516071992692354e-01,5.064274737276146243e-02,1.999999695165562974e+00,2.000000000000000000e+00,2.423802390694618225e-02,6.024754878398196567e+00,0.000000000000000000e+00
1.090000000000000000e+02,6.086288316957396916e+00,1.324363648557425610e-01,5.829645057239870448e-02,1.999999736615273971e+00,2.000000000000000000e+00,1.278972253203392029e-02,6.024754878398196567e+00,0.000000000000000000e+00
1.100000000000000000e+02,6.146149172135860539e+00,1.365199592726167865e-01,6.251969999811897438e-02,1.999999772428881162e+00,2.000000000000000000e+00,3.416600404307246208e-03,6.279705854077835880e+00,0.000000000000000000e+00
1.110000000000000000e+02,6.206002567473937859e+00,1.407113369692935267e-01,6.572356116895798628e-02,1.999999803372751073e+00,2.000000000000000000e+00,-3.824329469352960587e-03,6.279705854077835880e+00,0.000000000000000000e+00
1.120000000000000000e+02,6.265848641775863648e+00,1.450059366376824088e-01,6.822447996469155340e-02,1.999999830109043586e+00,2.000000000000000000e+00,-1.097715646028518677e-02,6.279705854077835880e+00,0.000000000000000000e+00
1.130000000000000000e+02,6.325715180699925000e+00,1.490043037726304920e-01,6.693370135661347309e-02,1.999999853209881939e+00,2.000000000000000000e+00,-1.504852250218391418e-02,6.279705854077835880e+00,0.000000000000000000e+00
1.140000000000000000e+02,6.385598108870621736e+00,1.527498259487189425e-01,6.454296752109887902e-02,1.999999873169595155e+00,2.000000000000000000e+00,-1.649725809693336487e-02,6.529705854077835880e+00,0.000000000000000000e+00
1.150000000000000000e+02,6.445494305840944627e+00,1.562769892161910978e-01,6.172127153955350026e-02,1.999999890415296466e+00,2.000000000000000000e+00,-1.748371310532093048e-02,6.529705854077835880e+00,0.000000000000000000e+00
1.160000000000000000e+02,6.505400259200646573e+00,1.596344424803824158e-01,5.901500921523267218e-02,1.999999905316022231e+00,2.000000000000000000e+00,-1.801223121583461761e-02,6.529705854077835880e+00,0.000000000000000000e+00
1.170000000000000000e+02,6.565316465057156492e+00,1.628037029633998545e-01,5.612290400022391240e-02,1.999999918190628945e+00,2.000000000000000000e+00,-1.852730661630630493e-02,6.529705854077835880e+00,0.000000000000000000e+00
1.180000000000000000e+02,6.625240805681314349e+00,1.658152564717500776e-01,5.339874911182557193e-02,1.999999929314617564e+00,2.000000000000000000e+00,-1.868576370179653168e-02,6.779705854077835880e+00,0.000000000000000000e+00
1.190000000000000000e+02,6.665195223987826267e+00,1.677241321604726054e-01,5.152450418929174075e-02,1.999999935876977553e+00,2.000000000000000000e+00,-1.885700598359107971e-02,6.779705854077835880e+00,0.000000000000000000e+00
1.200000000000000000e+02,6.745114480023294057e+00,1.713163908840969196e-01,4.777524838029329618e-02,1.999999947230530317e+00,2.000000000000000000e+00,-1.867969334125518799e-02,6.779705854077835880e+00,0.000000000000000000e+00
1.210000000000000000e+02,6.805062738688219426e+00,1.738068657579556198e-01,4.487704769451625331e-02,1.999999954405832669e+00,2.000000000000000000e+00,-1.851807534694671631e-02,6.779705854077835880e+00,0.000000000000000000e+00
1.220000000000000000e+02,6.865017244387903617e+00,1.761421320166540738e-01,4.215071297086916274e-02,1.999999960605477023e+00,2.000000000000000000e+00,-1.800907589495182037e-02,7.034656829757475194e+00,0.000000000000000000e+00
1.230000000000000000e+02,6.924978568407968993e+00,1.782952348417528310e-01,3.925238287018504441e-02,1.999999965962127702e+00,2.000000000000000000e+00,-1.751628704369068146e-02,7.034656829757475194e+00,0.000000000000000000e+00
1.240000000000000000e+02,6.984945263314058295e+00,1.802931748755955688e-01,3.652599210989267847e-02,1.999999970590410570e+00,2.000000000000000000e+00,-1.667634584009647369e-02,7.034656829757475194e+00,0.000000000000000000e+00
1.250000000000000000e+02,7.044917750534797740e+00,1.821089503644686969e-01,3.362763758938281528e-02,1.999999974589364848e+00,2.000000000000000000e+00,-1.585272699594497681e-02,7.034656829757475194e+00,0.000000000000000000e+00
